Thread Number\Mutex Number, 1, 2, 4, 8, 16, 32, 64, 128, 256, 512, 1024, 2048, 4096, 8192, 16384, 32768, 65536, 131072, 262144, 524288, 
1, 13.367739, 
2, 5.588275, 5.246619, 5.620782, 8.415476, 7.911937, 9.909616, 10.991246, 12.385473, 11.989307, 12.993530, 13.801913, 15.028043, 16.275206, 14.877241, 13.663613, 14.545465, 15.560677, 14.765077, 14.692605, 14.982169, 
4, 2.731586, 3.308654, 5.052436, 6.312809, 9.354756, 12.206867, 14.963697, 17.051836, 19.589419, 21.021690, 21.877041, 23.653115, 24.261764, 24.354455, 24.885287, 23.981377, 24.717851, 25.269585, 24.783318, 24.208163, 
