Thread Number\Mutex Number, 1, 2, 4, 8, 16, 32, 64, 128, 256, 512, 1024, 2048, 4096, 8192, 16384, 32768, 65536, 131072, 262144, 524288, 
1, 42.655471, 
2, 11.895154, 9.723012, 10.527776, 21.107256, 26.169186, 30.241293, 22.164449, 37.279871, 37.761657, 44.194306, 30.380609, 34.054274, 33.551927, 49.396893, 47.020731, 48.983388, 49.230340, 49.136556, 33.188987, 39.271563, 
